ID|Filename|Format|Source Path
82|DJI_0197.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0197.MOV
83|DJI_0198.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0198.MOV
84|DJI_0204.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0204.MOV
85|DJI_0206.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0206.MOV
86|DJI_0207.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0207.MOV
87|DJI_0208.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0208.MOV
88|DJI_0209.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0209.MOV
89|DJI_0210.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0210.MOV
90|DJI_0211.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0211.MOV
91|DJI_0221.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0221.MOV
92|DJI_0224.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0224.MOV
93|DJI_0225.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0225.MOV
94|DJI_0226.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0226.MOV
95|DJI_0228.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0228.MOV
96|DJI_0229.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0229.MOV
97|DJI_0230.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0230.MOV
98|DJI_0232.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0232.MOV
99|DJI_0234.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0234.MOV
100|DJI_0235.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0235.MOV
101|DJI_0236.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0236.MOV
102|DJI_0237.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0237.MOV
103|DJI_0238.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0238.MOV
104|DJI_0239.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0239.MOV
105|DJI_0240.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0240.MOV
106|DJI_0241.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0241.MOV
107|DJI_0242.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0242.MOV
108|DJI_0243.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0243.MOV
109|DJI_0244.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0244.MOV
110|DJI_0245.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0245.MOV
111|DJI_0246.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0246.MOV
112|DJI_0247.MOV|MOV|/volume1/David/CDAPhotographyLLC/CDA Photography/Photo Backups/2018/It's a girl!/Compiled Footage/Broll/DJI_0247.MOV
